ActualShipDate,AvgDeliveryTime
2025-05-01,4.81496062992126
2025-05-02,4.033557046979865
2025-05-03,4.230769230769231
2025-05-04,4.409090909090909
2025-05-05,4.360824742268041
2025-05-06,4.257142857142857
2025-05-07,4.19551282051282
2025-05-08,4.220779220779221
2025-05-09,4.156549520766773
2025-05-10,4.190058479532164
2025-05-11,4.065789473684211
2025-05-12,4.425324675324675
2025-05-13,4.279220779220779
2025-05-14,4.136094674556213
2025-05-15,4.271523178807947
2025-05-16,4.25705329153605
2025-05-17,4.355300859598854
2025-05-18,4.267806267806268
2025-05-19,4.194915254237288
2025-05-20,4.224489795918367
2025-05-21,4.178571428571429
2025-05-22,4.32764505119454
2025-05-23,4.520634920634921
2025-05-24,4.050955414012739
2025-05-25,4.304878048780488
2025-05-26,4.308411214953271
2025-05-27,4.2272727272727275
2025-05-28,4.326732673267327
2025-05-29,4.370149253731343
2025-05-30,4.009708737864078
2025-05-31,4.247678018575852
2025-06-01,3.2823529411764705
